שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°),משך זהירת שמש(דקות)
ירושלים מרכז                                      ,6771,01-01-1997,18.1,10.5,-
ירושלים מרכז                                      ,6771,02-01-1997,17.8,9.5,-
ירושלים מרכז                                      ,6771,03-01-1997,19.4,10.8,-
ירושלים מרכז                                      ,6771,04-01-1997,19.7,11.4,-
ירושלים מרכז                                      ,6771,05-01-1997,22.5,11.7,-
ירושלים מרכז                                      ,6771,06-01-1997,20.1,13.9,-
ירושלים מרכז                                      ,6771,07-01-1997,19.1,14.5,-
ירושלים מרכז                                      ,6771,08-01-1997,18.7,11.7,-
ירושלים מרכז                                      ,6771,09-01-1997,16.5,10.8,-
ירושלים מרכז                                      ,6771,10-01-1997,16.7,9.7,-
ירושלים מרכז                                      ,6771,11-01-1997,19.4,10.3,-
ירושלים מרכז                                      ,6771,12-01-1997,20.2,11.5,-
ירושלים מרכז                                      ,6771,13-01-1997,23.2,14.6,-
ירושלים מרכז                                      ,6771,14-01-1997,17.0,11.1,-
ירושלים מרכז                                      ,6771,15-01-1997,11.1,7.5,-
ירושלים מרכז                                      ,6771,16-01-1997,8.5,4.0,-
ירושלים מרכז                                      ,6771,17-01-1997,9.8,4.1,-
ירושלים מרכז                                      ,6771,18-01-1997,11.4,5.1,-
ירושלים מרכז                                      ,6771,19-01-1997,12.7,5.4,-
ירושלים מרכז                                      ,6771,20-01-1997,13.6,7.4,-
ירושלים מרכז                                      ,6771,21-01-1997,12.9,7.3,-
ירושלים מרכז                                      ,6771,22-01-1997,9.6,6.3,-
ירושלים מרכז                                      ,6771,23-01-1997,8.5,3.8,-
ירושלים מרכז                                      ,6771,24-01-1997,10.8,4.5,-
ירושלים מרכז                                      ,6771,25-01-1997,11.8,6.9,-
ירושלים מרכז                                      ,6771,26-01-1997,10.5,6.2,-
ירושלים מרכז                                      ,6771,27-01-1997,10.4,6.7,-
ירושלים מרכז                                      ,6771,28-01-1997,11.9,6.9,-
ירושלים מרכז                                      ,6771,29-01-1997,11.9,3.3,-
ירושלים מרכז                                      ,6771,30-01-1997,9.9,4.9,-
ירושלים מרכז                                      ,6771,31-01-1997,7.9,2.8,-
ירושלים מרכז                                      ,6771,01-02-1997,8.7,0.9,-
ירושלים מרכז                                      ,6771,02-02-1997,10.1,2.7,-
ירושלים מרכז                                      ,6771,03-02-1997,8.0,4.9,-
ירושלים מרכז                                      ,6771,04-02-1997,6.8,1.1,-
ירושלים מרכז                                      ,6771,05-02-1997,3.8,-0.1,-
ירושלים מרכז                                      ,6771,06-02-1997,5.9,0.2,-
ירושלים מרכז                                      ,6771,07-02-1997,8.0,0.8,-
ירושלים מרכז                                      ,6771,08-02-1997,9.9,2.0,-
ירושלים מרכז                                      ,6771,09-02-1997,11.1,3.5,-
ירושלים מרכז                                      ,6771,10-02-1997,10.0,4.0,-
ירושלים מרכז                                      ,6771,11-02-1997,12.0,4.3,-
ירושלים מרכז                                      ,6771,12-02-1997,12.5,4.1,-
ירושלים מרכז                                      ,6771,13-02-1997,14.7,6.0,-
ירושלים מרכז                                      ,6771,14-02-1997,13.9,6.0,-
ירושלים מרכז                                      ,6771,15-02-1997,15.6,7.5,-
ירושלים מרכז                                      ,6771,16-02-1997,18.3,8.7,-
ירושלים מרכז                                      ,6771,17-02-1997,21.7,11.9,-
ירושלים מרכז                                      ,6771,18-02-1997,16.6,8.7,-
ירושלים מרכז                                      ,6771,19-02-1997,17.0,8.1,-
ירושלים מרכז                                      ,6771,20-02-1997,14.2,10.2,-
ירושלים מרכז                                      ,6771,21-02-1997,11.2,4.8,-
ירושלים מרכז                                      ,6771,22-02-1997,6.0,3.3,-
ירושלים מרכז                                      ,6771,23-02-1997,7.9,4.5,-
ירושלים מרכז                                      ,6771,24-02-1997,9.5,5.1,-
ירושלים מרכז                                      ,6771,25-02-1997,7.2,1.3,-
ירושלים מרכז                                      ,6771,26-02-1997,7.8,2.8,-
